feature_id,part,seq,longitude,latitude,resource_class
MAT-CARB-41,0,0,-83.0650589131895,41.12022208084579,dolomite
MAT-CARB-41,0,1,-83.06433149299419,41.120594031289215,dolomite
MAT-CARB-41,0,2,-83.06311557505687,41.12078402678728,dolomite
MAT-CARB-41,0,3,-83.05897620992285,41.1208034759675,dolomite
MAT-CARB-41,0,4,-83.05726728787735,41.12025869845907,dolomite
MAT-CARB-41,0,5,-83.05556285399197,41.12026664085766,dolomite
MAT-CARB-41,0,6,-83.053862903157,41.12082730317704,dolomite
MAT-CARB-41,0,7,-83.04973691910796,41.1225046359005,dolomite
MAT-CARB-41,0,8,-83.0473167059638,41.1243582990203,dolomite
MAT-CARB-41,0,9,-83.04587630639324,41.12694442426121,dolomite
MAT-CARB-41,0,10,-83.04687398181395,41.129887894586346,dolomite
MAT-CARB-41,0,11,-83.04810637753341,41.13172475336234,dolomite
MAT-CARB-41,0,12,-83.0481344835091,41.135225408748965,dolomite
MAT-CARB-41,0,13,-83.04742158536715,41.137439685423004,dolomite
MAT-CARB-41,0,14,-83.04597501924786,41.139288805140886,dolomite
MAT-CARB-41,0,15,-83.04452396578047,41.14058519571747,dolomite
MAT-CARB-41,0,16,-83.04404566519739,41.14169286099358,dolomite
MAT-CARB-41,0,17,-83.04405447606034,41.1427983331645,dolomite
MAT-CARB-41,0,18,-83.04430389797496,41.14353420457898,dolomite
MAT-CARB-41,0,19,-83.0455261997239,41.14408138414654,dolomite
MAT-CARB-41,0,20,-83.04772132176355,41.14443981512235,dolomite
MAT-CARB-41,0,21,-83.04894511258043,41.145171204460446,dolomite
MAT-CARB-41,0,22,-83.05016595949483,41.14553409122071,dolomite
MAT-CARB-41,0,23,-83.05188145274742,41.146815939227366,dolomite
MAT-CARB-41,0,24,-83.05213548104588,41.148104498155746,dolomite
MAT-CARB-41,0,25,-83.05116855510317,41.14903021992293,dolomite
MAT-CARB-41,0,26,-83.04923169530336,41.150513122168064,dolomite
MAT-CARB-41,0,27,-83.04704818370978,41.15162864654574,dolomite
MAT-CARB-41,0,28,-83.04608113862,41.15255429736043,dolomite
MAT-CARB-41,0,29,-83.04486460052127,41.152744102686846,dolomite
MAT-CARB-41,0,30,-83.04292159952635,41.153489950995706,dolomite
MAT-CARB-41,0,31,-83.04194719329965,41.153494375228654,dolomite
MAT-CARB-41,0,32,-83.03999976566091,41.15368744409363,dolomite
MAT-CARB-41,0,33,-83.0370764649869,41.153700621781944,dolomite
MAT-CARB-41,0,34,-83.03390669616822,41.15334632879128,dolomite
MAT-CARB-41,0,35,-83.02975962751225,41.15262778850609,dolomite
MAT-CARB-41,0,36,-83.02634348932926,41.15190591357692,dolomite
MAT-CARB-41,0,37,-83.02341884937348,41.151734512780436,dolomite
MAT-CARB-41,0,38,-83.0214756791144,41.15248001266102,dolomite
MAT-CARB-41,0,39,-83.02051108551383,41.15377394416512,dolomite
MAT-CARB-41,0,40,-83.02003367061937,41.15506577434291,dolomite
MAT-CARB-41,0,41,-83.02004209405293,41.15617121021603,dolomite
MAT-CARB-41,0,42,-83.02127568579569,41.158192554643406,dolomite
MAT-CARB-41,0,43,-83.02299519052764,41.16002753572958,dolomite
MAT-CARB-41,0,44,-83.02495698373691,41.16167714910949,dolomite
MAT-CARB-41,0,45,-83.02570350777926,41.1637005797953,dolomite
MAT-CARB-41,0,46,-83.02644154767515,41.164618575051655,dolomite
MAT-CARB-41,0,47,-83.0259656256407,41.16609466111185,dolomite
MAT-CARB-41,0,48,-83.02524175784814,41.167019060780206,dolomite
MAT-CARB-41,0,49,-83.02329813593366,41.16776458226033,dolomite
MAT-CARB-41,0,50,-83.02233621797075,41.169426998165314,dolomite
MAT-CARB-41,0,51,-83.02065866977613,41.17311925017981,dolomite
MAT-CARB-41,0,52,-83.0194542823711,41.17496693939127,dolomite
MAT-CARB-41,0,53,-83.01824706716728,41.17644615904581,dolomite
MAT-CARB-41,0,54,-83.0172820734904,41.177740042095635,dolomite
MAT-CARB-41,0,55,-83.01631289663977,41.17848122087084,dolomite
MAT-CARB-41,0,56,-83.01509577716448,41.17867071966358,dolomite
MAT-CARB-41,0,57,-83.0141223979763,41.17885915773963,dolomite
MAT-CARB-41,0,58,-83.01168539918251,41.17886961630481,dolomite
MAT-CARB-41,0,59,-83.01070645453764,41.17832106304483,dolomite
MAT-CARB-41,0,60,-83.00825853018134,41.17685755046624,dolomite
MAT-CARB-41,0,61,-83.00556561058227,41.17521074867561,dolomite
MAT-CARB-41,0,62,-83.00263459475376,41.17430190332667,dolomite
MAT-CARB-41,0,63,-82.9995067838483,41.171189477098444,dolomite
MAT-CARB-41,0,64,-82.9993402772355,41.17106493611805,dolomite
MAT-CARB-41,0,65,-82.99784240568809,41.17006942771561,dolomite
